role_id,role_name,role_slug,domain,subdomain,level,description,required_skills,optional_skills,tools,learning_order,average_learning_months,priority_score,market_demand_score,created_at,updated_at
R001,Frontend Developer,frontend-developer,Software Development,Frontend Development,junior,Frontend Developer working in Software Development domain,HTML;CSS;JavaScript;React;Git,TypeScript;Next.js;Webpack;Jest;Sass,VS Code;Chrome DevTools,,6,90,90,2026-05-28 12:16:18,2026-05-28 12:16:18
R002,Backend Developer,backend-developer,Software Development,Backend Development,junior,Backend Developer working in Software Development domain,JavaScript;Node.js;Python;SQL;Git,Java;Go;Redis;Docker;PostgreSQL;MongoDB,VS Code;Postman,,8,88,88,2026-05-28 12:16:18,2026-05-28 12:16:18
R003,Full Stack Developer,full-stack-developer,Software Development,Full Stack Development,mid,Full Stack Developer working in Software Development domain,JavaScript;React;Node.js;SQL;HTML;CSS;Git,TypeScript;Docker;PostgreSQL;MongoDB;Python;AWS,VS Code;Docker,,12,95,95,2026-05-28 12:16:18,2026-05-28 12:16:18
R004,Python Developer,python-developer,Software Development,Backend Development,junior,Python Developer working in Software Development domain,Python;Git;SQL,Django;Flask;FastAPI;PostgreSQL;Docker,PyCharm;VS Code,,6,85,85,2026-05-28 12:16:18,2026-05-28 12:16:18
R005,Java Developer,java-developer,Software Development,Backend Development,junior,Java Developer working in Software Development domain,Java;SQL;Git,Spring;Spring Boot;Hibernate;Maven;Docker,IntelliJ;Eclipse,,8,82,82,2026-05-28 12:16:18,2026-05-28 12:16:18
R006,JavaScript Developer,javascript-developer,Software Development,Frontend Development,junior,JavaScript Developer working in Software Development domain,JavaScript;HTML;CSS;Git,TypeScript;React;Node.js;Jest,VS Code,,5,86,86,2026-05-28 12:16:18,2026-05-28 12:16:18
R007,React Developer,react-developer,Software Development,Frontend Development,junior,React Developer working in Software Development domain,JavaScript;React;HTML;CSS;Git,TypeScript;Next.js;Redux;Jest;Tailwind CSS,VS Code,,6,84,84,2026-05-28 12:16:18,2026-05-28 12:16:18
R008,Node.js Developer,node-js-developer,Software Development,Backend Development,junior,Node.js Developer working in Software Development domain,JavaScript;Node.js;SQL;Git,Express.js;MongoDB;PostgreSQL;Redis;Docker,VS Code,,6,80,80,2026-05-28 12:16:18,2026-05-28 12:16:18
R009,Data Analyst,data-analyst,Data,Data Analysis,entry,Data Analyst working in Data domain,SQL;Python;Excel;Data Analysis,Tableau;Power BI;Statistics;R,Excel;Jupyter,,4,88,88,2026-05-28 12:16:18,2026-05-28 12:16:18
R010,Data Scientist,data-scientist,Data,Data Science,mid,Data Scientist working in Data domain,Python;Machine Learning;Statistics;SQL,Deep Learning;TensorFlow;PyTorch;R;Spark,Jupyter;VS Code,,12,92,92,2026-05-28 12:16:18,2026-05-28 12:16:18
R011,Machine Learning Engineer,machine-learning-engineer,AI/ML,Machine Learning,mid,Machine Learning Engineer working in AI/ML domain,Python;Machine Learning;Deep Learning;TensorFlow;PyTorch,MLOps;Docker;Kubernetes;Spark;SQL,Jupyter;VS Code,,14,93,93,2026-05-28 12:16:18,2026-05-28 12:16:18
R012,AI Engineer,ai-engineer,AI/ML,Artificial Intelligence,mid,AI Engineer working in AI/ML domain,Python;Machine Learning;Deep Learning;Artificial Intelligence,NLP;Computer Vision;LLM;TensorFlow;PyTorch,Jupyter,,14,91,91,2026-05-28 12:16:18,2026-05-28 12:16:18
R013,Cyber Security Analyst,cyber-security-analyst,Cyber Security,Security,junior,Cyber Security Analyst working in Cyber Security domain,Network Security;Linux;Python,Penetration Testing;Cryptography;SIEM;Firewall,Kali Linux;Wireshark,,8,85,85,2026-05-28 12:16:18,2026-05-28 12:16:18
R014,Cloud Engineer,cloud-engineer,Cloud Computing,Cloud Infrastructure,mid,Cloud Engineer working in Cloud Computing domain,Cloud Computing;Linux;Docker;AWS;Azure,Kubernetes;Terraform;CI/CD;Networking,AWS Console;Azure Portal,,10,87,87,2026-05-28 12:16:18,2026-05-28 12:16:18
R015,DevOps Engineer,devops-engineer,DevOps,CI/CD,mid,DevOps Engineer working in DevOps domain,Docker;Kubernetes;Linux;Git;CI/CD,AWS;Azure;Terraform;Ansible;Python,Jenkins;GitLab CI,,10,90,90,2026-05-28 12:16:18,2026-05-28 12:16:18
R016,Database Administrator,database-administrator,Database,Database Administration,mid,Database Administrator working in Database domain,SQL;Database Management;PostgreSQL;MySQL,MongoDB;Redis;Oracle;Performance Tuning,pgAdmin;MySQL Workbench,,8,78,78,2026-05-28 12:16:18,2026-05-28 12:16:18
R017,UI/UX Designer,ui-ux-designer,UI/UX,Design,junior,UI/UX Designer working in UI/UX domain,UI Design;UX Design;Figma,HTML;CSS;JavaScript;Prototyping;User Research,Figma;Adobe XD,,6,80,80,2026-05-28 12:16:18,2026-05-28 12:16:18
R018,Software Engineer,software-engineer,Software Development,General,junior,Software Engineer working in Software Development domain,Python;Java;JavaScript;Data Structures;Algorithms;Git,SQL;Docker;AWS;System Design,VS Code;IntelliJ,,10,95,95,2026-05-28 12:16:18,2026-05-28 12:16:18
R019,Mobile App Developer,mobile-app-developer,Mobile Development,Mobile,junior,Mobile App Developer working in Mobile Development domain,JavaScript;React Native;Git,iOS;Android;Flutter;Swift;Kotlin,Xcode;Android Studio,,8,82,82,2026-05-28 12:16:18,2026-05-28 12:16:18
R020,Data Engineer,data-engineer,Data,Data Engineering,mid,Data Engineer working in Data domain,Python;SQL;Big Data;ETL;Spark,Kafka;Airflow;AWS;Snowflake;Data Warehousing,Airflow;Spark,,10,87,87,2026-05-28 12:16:18,2026-05-28 12:16:18
R021,Generative AI Engineer,generative-ai-engineer,AI/ML,Generative AI,mid,Generative AI Engineer working in AI/ML domain,Python;Generative AI;LLM;Deep Learning;Natural Language Processing,PyTorch;LangChain;Vector Databases;RAG;API Development,LangChain;Hugging Face,,10,90,90,2026-05-28 12:16:18,2026-05-28 12:16:18
R022,Security Engineer,security-engineer,Cyber Security,Security Engineering,mid,Security Engineer working in Cyber Security domain,Python;Linux;Network Security;Cryptography,Cloud Security;Penetration Testing;SIEM;Incident Response,Metasploit;Wireshark,,10,80,80,2026-05-28 12:16:18,2026-05-28 12:16:18
R023,Network Engineer,network-engineer,Networking,Network Engineering,mid,Network Engineer working in Networking domain,Computer Networks;Linux;Networking;Routing,Python;Cisco;Firewall;SDN,Wireshark;Cisco Packet Tracer,,8,75,75,2026-05-28 12:16:18,2026-05-28 12:16:18
R024,MLOps Engineer,mlops-engineer,DevOps,MLOps,mid,MLOps Engineer working in DevOps domain,Python;Docker;Kubernetes;Machine Learning;CI/CD,AWS;Azure;TensorFlow;PyTorch;Terraform,Kubeflow;MLflow,,12,80,80,2026-05-28 12:16:18,2026-05-28 12:16:18
R025,System Administrator,system-administrator,IT Support,System Administration,junior,System Administrator working in IT Support domain,Linux;System Administration;Networking;Shell Scripting,Python;Docker;Cloud Computing;Active Directory,Bash;PowerShell,,6,72,72,2026-05-28 12:16:18,2026-05-28 12:16:18
